,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
87,2003,BYU,66.1048,65.663,109.29299999999999,110.537,95.6204,92.3283,18.2088,12,0,5.49,5.2,52.63,45.6734,6.9566,20.5256,21.8468,1.3212,34.3113,29.5383,4.773,45.6469,46.3742,-0.7273,0.7
88,2003,Memphis,70.417,68.3304,105.37299999999999,111.304,92.9988,93.4775,17.8261,7,0,4.84,3.33,49.309,45.7135,3.5955,19.4143,21.0164,1.6021,37.1239,31.8541,5.2698,37.8662,35.8458,2.0204,0.9
89,2003,Michigan St,65.101,63.6011,102.885,108.72,93.3255,90.9288,17.7907,7,0,10.11,3.19,50.2228,45.8428,4.38,21.9616,21.3928,-0.5688,34.1825,27.4968,6.6857,42.7298,41.1765,1.5533,0.6
90,2003,Missouri,68.5742,66.5071,104.60700000000001,111.397,97.0599,93.7637,17.6329,6,0,11.14,2.97,50.8423,45.8165,5.0258,20.1448,19.131,-1.0138,37.3312,33.1218,4.2094,30.6279,30.9476,-0.3197,0.6
91,2003,Oklahoma St,68.1156,66.5752,100.39299999999999,106.039,91.1255,88.7021,17.3367,6,0,9.08,-1.14,48.8081,44.1176,4.6905,21.5846,24.5536,2.969,35.7705,36.0571,-0.2866,40.407,36.9249,3.4821,0.3
92,2003,Arizona St,69.5967,66.8633,108.307,113.116,98.4177,96.3758,16.7407,10,0,8.74,5.44,51.2662,49.8852,1.381,19.5408,21.7885,2.2477,38.6157,32.6896,5.9261,45.3573,37.3134,8.0439,0.6
93,2003,Purdue,69.4334,69.1792,102.512,106.758,93.8661,90.7963,15.962,9,0,9.53,4.87,48.4728,46.0255,2.4473,19.951,23.2364,3.2854,31.0498,31.9315,-0.8817,46.2431,37.0752,9.1679,0.4
94,2003,Colorado,71.8548,69.8746,104.476,109.28299999999999,97.2061,93.4129,15.8705,10,0,9.02,0.22,48.4176,45.5941,2.8235,19.4535,17.4081,-2.0454,37.7897,32.0199,5.7698,38.7443,29.604,9.1403,0.6
95,2003,Dayton,64.5776,64.3077,112.331,116.87799999999999,102.01899999999999,101.035,15.8425,4,1,4.93,5.54,51.9841,48.0565,3.9276,20.3739,18.2184,-2.1555,40.4277,34.218,6.2097,40.9646,30.8009,10.1637,0.8
96,2003,Alabama,66.4245,65.5541,103.59,110.57,97.9081,95.1017,15.468,10,0,9.55,2.31,47.5802,47.5671,0.0131,19.7695,20.6019,0.8324,37.5723,32.2388,5.3335,36.4186,31.5658,4.8528,0.4
97,2003,Butler,59.6995,58.7876,113.48200000000001,115.085,99.9479,99.7088,15.3765,12,0,4.1,1.83,55.6487,49.7273,5.9214,17.3765,19.97,2.5935,28.6805,34.5114,-5.8309,32.5264,28.1818,4.3446,0.8
98,2003,Cincinnati,67.404,66.3686,100.765,105.459,92.6958,90.1252,15.3334,8,0,7.35,3.74,43.668,45.6975,-2.0295,15.7196,20.584,4.8644,33.1418,31.8826,1.2592,34.9686,38.3964,-3.4278,0.4
99,2003,Gonzaga,69.5545,67.2433,109.24,112.337,96.8176,97.3823,14.9545,9,0,3.93,5.83,53.2556,48.2525,5.0031,20.2904,20.5913,0.3009,36.2506,29.6485,6.6021,44.6012,32.3422,12.259,0.7
100,2003,Stanford,68.6072,65.4887,104.79,109.838,97.4274,94.9404,14.8974,4,0,7.26,3.76,50.2078,45.5775,4.6303,20.7407,18.671,-2.0697,38.8144,32.3299,6.4845,35.1169,34.9636,0.1533,0.7
101,2003,Utah,62.0694,61.9372,106.26899999999999,107.925,95.6871,93.0806,14.8447,9,0,5.23,1.55,51.87,45.9631,5.9069,20.5341,20.2343,-0.2998,32.5488,29.7533,2.7955,36.6646,44.3738,-7.7092,0.7
102,2003,Indiana,65.6521,63.9859,106.34299999999999,113.046,101.42399999999999,98.4831,14.5633,7,0,10.49,9.29,49.4327,45.6105,3.8222,17.4669,15.814,-1.6529,31.2996,31.7334,-0.4338,41.0589,33.1988,7.8601,0.6
103,2003,UNC Wilmington,65.8771,64.3593,107.555,108.916,89.5767,94.4886,14.4278,11,1,-2.47,-0.81,52.0321,45.9593,6.0728,17.093,25.2996,8.2066,29.7505,33.2072,-3.4567,32.7418,34.67,-1.9282,0.9
